==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:dense
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:64
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-dense-7-64
time:210215-03-20-06
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-dense-7-64-210215-03-20-06
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-dense-7-64-210215-03-20-06
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  1.020683 	 Train Accuracy:  0.6175 	Valid Loss:  1.0393 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [2]	 Train Loss:  0.996003 	 Train Accuracy:  0.6544 	Valid Loss:  0.6835 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [3]	 Train Loss:  0.593828 	 Train Accuracy:  0.8940 	Valid Loss:  0.7031 	 Valid Accuracy:  0.5091
Run: [1]	 Epoch: [4]	 Train Loss:  0.565310 	 Train Accuracy:  0.8710 	Valid Loss:  0.6754 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.452151 	 Train Accuracy:  0.9816 	Valid Loss:  0.6526 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [6]	 Train Loss:  0.331755 	 Train Accuracy:  0.9954 	Valid Loss:  0.6879 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [7]	 Train Loss:  0.291498 	 Train Accuracy:  1.0000 	Valid Loss:  0.6424 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [8]	 Train Loss:  0.208123 	 Train Accuracy:  1.0000 	Valid Loss:  0.6216 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [9]	 Train Loss:  0.145707 	 Train Accuracy:  1.0000 	Valid Loss:  0.6308 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [10]	 Train Loss:  0.108446 	 Train Accuracy:  1.0000 	Valid Loss:  0.6388 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [11]	 Train Loss:  0.097799 	 Train Accuracy:  1.0000 	Valid Loss:  0.7246 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [12]	 Train Loss:  0.081156 	 Train Accuracy:  1.0000 	Valid Loss:  0.8974 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [13]	 Train Loss:  0.077175 	 Train Accuracy:  1.0000 	Valid Loss:  1.0255 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [14]	 Train Loss:  0.062272 	 Train Accuracy:  1.0000 	Valid Loss:  1.0393 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [15]	 Train Loss:  0.066833 	 Train Accuracy:  1.0000 	Valid Loss:  0.8998 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [16]	 Train Loss:  0.059226 	 Train Accuracy:  1.0000 	Valid Loss:  0.8110 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [17]	 Train Loss:  0.050198 	 Train Accuracy:  1.0000 	Valid Loss:  0.8025 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [18]	 Train Loss:  0.041671 	 Train Accuracy:  1.0000 	Valid Loss:  0.8352 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [19]	 Train Loss:  0.038288 	 Train Accuracy:  1.0000 	Valid Loss:  0.8699 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [20]	 Train Loss:  0.039478 	 Train Accuracy:  1.0000 	Valid Loss:  0.9009 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [21]	 Train Loss:  0.033747 	 Train Accuracy:  1.0000 	Valid Loss:  0.9259 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [22]	 Train Loss:  0.030229 	 Train Accuracy:  1.0000 	Valid Loss:  0.9467 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [23]	 Train Loss:  0.026842 	 Train Accuracy:  1.0000 	Valid Loss:  0.9648 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [24]	 Train Loss:  0.024326 	 Train Accuracy:  1.0000 	Valid Loss:  0.9817 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [25]	 Train Loss:  0.027792 	 Train Accuracy:  1.0000 	Valid Loss:  1.0017 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [26]	 Train Loss:  0.022196 	 Train Accuracy:  1.0000 	Valid Loss:  1.0237 	 Valid Accuracy:  0.6545
